,IID,01:03,02:02,02:01,01:04i2,02:06
196,HLA_197,2,0,0,0,0
197,HLA_198,1,0,1,0,0
198,HLA_199,0,2,0,0,0
199,HLA_200,2,0,0,0,0
200,HLA_201,2,0,0,0,0
201,HLA_202,0,2,0,0,0
202,HLA_203,1,0,1,0,0
203,HLA_204,1,0,1,0,0
204,HLA_205,1,0,1,0,0
205,HLA_206,1,0,1,0,0
206,HLA_207,1,1,0,0,0
207,HLA_208,2,0,0,0,0
208,HLA_209,1,1,0,0,0
209,HLA_210,2,0,0,0,0
210,HLA_211,2,0,0,0,0
211,HLA_212,2,0,0,0,0
212,HLA_213,2,0,0,0,0
213,HLA_214,2,0,0,0,0
214,HLA_215,1,0,1,0,0
215,HLA_216,2,0,0,0,0
216,HLA_217,1,0,1,0,0
217,HLA_218,2,0,0,0,0
218,HLA_219,2,0,0,0,0
219,HLA_220,1,0,1,0,0
220,HLA_221,1,0,1,0,0
221,HLA_222,1,1,0,0,0
222,HLA_223,1,1,0,0,0
223,HLA_224,2,0,0,0,0
224,HLA_225,2,0,0,0,0
225,HLA_226,2,0,0,0,0
226,HLA_227,2,0,0,0,0
227,HLA_228,2,0,0,0,0
228,HLA_229,2,0,0,0,0
229,HLA_230,2,0,0,0,0
230,HLA_231,1,0,0,0,1
231,HLA_232,1,1,0,0,0
232,HLA_233,0,0,2,0,0
233,HLA_234,1,1,0,0,0
234,HLA_235,2,0,0,0,0
235,HLA_236,1,0,1,0,0
236,HLA_237,2,0,0,0,0
237,HLA_238,2,0,0,0,0
238,HLA_239,1,0,1,0,0
239,HLA_240,2,0,0,0,0
240,HLA_241,1,1,0,0,0
241,HLA_242,1,0,1,0,0
242,HLA_243,2,0,0,0,0
