IID,A.1,A.2,A.prob,B.1,B.2,B.prob,C.1,C.2,C.prob,DPB1.1,DPB1.2,DPB1.prob,DQA1.1,DQA1.2,DQA1.prob,DQB1.1,DQB1.2,DQB1.prob,DRB1.1,DRB1.2,DRB1.prob,DPA1.1,DPA1.2,DPA1.prob,DRB3.1,DRB3.2,DRB3.prob,DRB4.1,DRB4.2,DRB4.prob,DRB5.1,DRB5.2,DRB5.prob,ArrayID
HLA_333,03:01,24:02,0.410718232892003,38:01,41:01,0.775682400943395,07:01,12:03,0.777888742003056,01:01,04:01,0.792696739044625,01:03,01:05,0.769868396691015,05:01,06:03,0.900868916847159,10:01,13:01,0.97949264897658,01:03,02:01,0.944202072037802,00:00,01:01,0.5788186458566,00:00,01:03,0.569528138736933,00:00,00:00,0.863547308864091,1
HLA_334,03:01,11:01,0.96980146880817,44:02,52:01,0.37033098876358,07:02,12:02,0.991023053914186,04:01,04:02,0.838656256498672,01:02,05:05,0.976333096472112,03:01,06:04,0.7195437783495,12:01,13:02,0.993400598561816,01:03,01:03,0.983244245553018,02:02,03:01,0.793255401377531,00:00,00:00,0.902991669201339,00:00,00:00,0.963751330994443,4
HLA_335,02:01,03:01,0.930643726689288,55:01,56:01,0.981685376301563,01:02,03:03,0.986265217737529,01:01,05:01,0.882807817329425,01:04,03:03,0.777659046287352,03:01,05:03,0.944294453142687,04:01,14:01,0.498569045149559,02:02,02:02,0.549529212584831,00:00,02:02,0.863268868857767,00:00,01:03,0.864075024908011,00:00,00:00,0.961111004828072,4
HLA_336,02:01,11:01,0.721815216211955,35:01,40:01,0.978035282900577,03:03,07:02,0.913409964242181,05:01,13:01,0.373165031005683,01:02,03:03,0.748849583135355,04:01,06:02,0.949863941021062,04:05,15:01,0.967385873082882,02:01,02:02,0.251637831763204,00:00,00:00,0.70243768236936,00:00,01:03,0.524137838510069,00:00,01:01,0.511964403034379,4
HLA_337,01:01,68:02,0.834032373794429,07:02,15:10,0.514044728156325,03:04,07:02,0.491615453901688,04:01,05:01,0.27009554091553,01:02,01:02,0.964411885185467,06:02,06:04,0.901765243372988,13:02,15:01,0.979234290803892,01:03,01:03,0.774820298692058,00:00,03:01,0.714671026981964,00:00,00:00,0.864840742127111,00:00,01:01,0.855080476215126,2
HLA_338,01:01,01:01,0.997028679248584,52:01,57:01,0.999121136247185,06:02,12:02,0.999120275124576,04:01,14:01,0.707847092490812,01:03,05:05,0.933740941512837,03:01,06:01,0.993245118409313,11:01,15:02,0.533261837957251,01:03,02:01,0.938327859969019,00:00,02:02,0.934135920345686,00:00,00:00,0.916147523496629,00:00,01:02e1,0.938488464762169,5
HLA_339,30:02,68:02,0.740156305296154,13:01,40:01,0.137770282549415,02:02,03:04,0.261536989279192,01:01,104:01e1,0.609641234117171,05:05,06:01,0.463393458823806,03:01,03:01,0.499884938887143,12:02,13:03,0.414155448039773,01:03,02:01,0.76655111918745,01:01,03:01,0.406798387849322,00:00,00:00,0.771109661229138,00:00,00:00,0.843785513699917,2
HLA_340,02:06,11:01,0.68718762118712,40:06,67:01,0.55184877753496,07:02,08:01,0.879052216808032,02:01,05:01,0.458053072902757,01:02,03:02,0.738690506435932,03:03,06:02,0.96129548157753,09:01,15:01,0.989820757496271,01:03,02:02,0.621797882163155,00:00,00:00,0.695438385487203,00:00,01:03,0.627948120464922,00:00,01:01,0.522981251215913,4
HLA_341,11:01,26:01,0.663317225951996,38:01,44:02,0.974185969862858,05:01,12:03,0.998341476974466,01:01,04:02,0.433182914510802,01:03,05:05,0.927856727005228,03:01,06:03,0.986651661312098,11:01,13:01,0.677917958833895,01:03,02:01,0.932515282130155,01:01,02:02,0.918025746801716,00:00,00:00,0.939122132663624,00:00,00:00,0.978904374366648,5
HLA_342,11:01,11:01,0.991176940114136,35:01,55:01,0.811104160124491,03:04,04:01,0.861411978686882,04:01,04:02,0.930113827845698,01:01,01:02,0.996718186440566,05:01,05:02,0.998043489871297,01:01,16:01,0.988887448020814,01:03,01:03,0.98114393298199,00:00,00:00,0.53853051631114,00:00,00:00,0.752115838498877,00:00,02:02e1,0.669070819651678,1
HLA_343,02:01,26:01,0.698114046815585,44:02,51:01,0.994378145787985,01:02,05:01,0.986345657296254,04:01,05:01,0.913503891641384,01:02,03:03,0.925610544217546,03:01,06:02,0.839394937416379,04:07,15:01,0.446497287539293,01:03,02:02,0.532183471853599,00:00,00:00,0.942092541041456,00:00,01:03,0.922828696746487,00:00,01:01,0.941003585590087,4
HLA_344,02:01,03:01,0.971538299091038,07:02,44:03,0.991634534070872,07:02,16:01,0.998287701703132,02:01,04:01,0.905197959158917,01:02,02:01,0.999472176952093,02:02,06:02,0.993415545820282,07:01,15:01,0.998683333916539,01:03,01:03,0.979286550067325,00:00,00:00,0.954796863366756,00:00,01:01,0.737956909207139,00:00,01:01,0.962798608190216,5
HLA_345,26:01,33:01,0.962185889958157,14:02,38:01,0.965506350268086,08:02,12:03,0.994198463584247,02:01,04:01,0.141209993148031,01:01,03:01,0.949156189397051,03:02,05:01,0.994497424962409,01:02,04:02,0.945944680115868,01:03,01:03,0.870550189671956,00:00,00:00,0.52436780122687,00:00,01:03,0.781128786921679,00:00,00:00,0.681044312184422,4
HLA_346,03:01,23:01,0.973276294166301,07:02,50:01,0.972531200345466,06:02,07:02,0.999997259489935,04:01,04:01,0.880119460488728,01:02,02:01,0.999062957583784,02:02,06:02,0.980940759477462,07:01,15:01,0.997772922134655,01:03,02:02,0.808232531277378,00:00,00:00,0.943565941597464,00:00,01:01,0.682560505685761,00:00,01:01,0.962850467740114,4
HLA_347,02:01,03:01,0.770492258558335,27:03,35:01,0.524168793028071,02:02,04:01,0.98688735637099,13:01,17:01e1,0.473718501155496,02:01,02:01,0.954429711609956,02:02,03:03,0.930832138551113,07:01,07:01,0.912153730469115,02:01,02:01,0.633107054555134,00:00,00:00,0.80377231888662,01:03,01:03,0.549082363801028,00:00,00:00,0.955277066796008,4
HLA_348,01:01,66:01,0.952705369933457,37:01,41:02,0.979317968599718,06:02,17:01,0.368336214024228,02:01,104:01e1,0.944798167983662,01:02,05:05,0.381723633190793,02:02,03:01,0.958196662975542,07:01,13:03,0.978735922461155,01:03,01:03,0.923336240282208,00:00,01:01,0.938713880662022,00:00,01:01,0.759428277904122,00:00,00:00,0.967699553347594,3
